Codigo;Acao;Tipo;Qtde. Teorica;Part. (%)
ABEV3;AMBEV S/A;ON EJ;4355174839;2.728
ALPA4;ALPARGATAS;PN N1;168770200;0.284
ALSO3;ALIANSCSONAE;ON NM;127376805;0.149
AMAR3;LOJAS MARISA;ON NM;111476495;0.030
AZUL4;AZUL;PN N2;327283207;0.515
B3SA3;B3;ON NM;2043531244;5.025
BBAS3;BRASIL;ON NM;1283197221;1.992
BBDC3;BRADESCO;ON EJ N1;1253093907;1.214
BBDC4;BRADESCO;PN EJ N1;4261649634;4.628
BBSE3;BBSEGURIDADE;ON NM;671584841;0.796
BEEF3;MINERVA;ON NM;239331676;0.097
BPAC11;BTGP BANCO;UNT N2;236093794;0.888
BRAP4;BRADESPAR;PN N1;222075664;0.566
BRDT3;PETROBRAS BR;ON EJ NM;1164958126;1.032
BRFS3;BRF SA;ON NM;811759800;0.716
BRKM5;BRASKEM;PNA N1;264640575;0.250
BRML3;BR MALLS PAR;ON NM;843728684;0.334
BTOW3;B2W DIGITAL;ON NM;201549295;0.610
CCRO3;CCR SA;ON NM;1115695556;0.601
CESP6;CESP;PNB EJ N1;182017689;0.211
CIEL3;CIELO;ON EJ NM;1112196638;0.178
CMIG4;CEMIG;PN N1;969723092;0.556
CNTO3;CENTAURO;ON NM;88709474;0.106
COGN3;COGNA ON;ON NM;1847994874;0.342
CPFE3;CPFL ENERGIA;ON NM;187714249;0.245
CPLE6;COPEL;PNB EJ N1;128297543;0.385
CRFB3;CARREFOUR BR;ON NM;391758726;0.304
CSAN3;COSAN;ON NM;129314042;0.392
CSMG3;COPASA;ON NM;188444559;0.124
CSNA3;SID NACIONAL;ON;642398790;0.819
CVCB3;CVC BRASIL;ON NM;172756818;0.142
CYRE3;CYRELA REALT;ON NM;281154098;0.332
DTEX3;DURATEX;ON NM;273421574;0.209
ECOR3;ECORODOVIAS;ON NM;171109276;0.092
EGIE3;ENGIE BRASIL;ON EDJ NM;254792279;0.448
ELET3;ELETROBRAS;ON N1;358018408;0.525
ELET6;ELETROBRAS;PNB N1;242977127;0.360
EMBR3;EMBRAER;ON NM;736143105;0.261
